X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
-73.112597,7.125483,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 33 CALLE 34,,,,,-1,0,-1,,
-73.112356,7.124028,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 33 CALLE 36,,,,,-1,0,-1,,
-73.112209,7.112849,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 31 CALLE 52,,,,,-1,0,-1,,
-73.111825,7.127844,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 33A CALLE 32,,,,,-1,0,-1,,
-73.111833,7.12109,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 33 CALLE 42,,,,,-1,0,-1,,
-73.111452,7.118838,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 33 CALLE 45,,,,,-1,0,-1,,
-73.111147,7.103804,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 30 CALLE 67,,,,,-1,0,-1,,
-73.11104,7.116607,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 33 CALLE 48,,,,,-1,0,-1,,
-73.110972,7.109498,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 32 CALLE 56 (AV. G. VAL.),,,,,-1,0,-1,,
-73.110755,7.107845,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   AV. G. VALENCIA CALLE 62,,,,,-1,0,-1,,
-73.110634,7.086234,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 25 CALLE 105 (PROVENZA),,,,,-1,0,-1,,
-73.11044,7.113173,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 33 CALLE 52,,,,,-1,0,-1,,
-73.110365,7.125872,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 36 CALLE 34,,,,,-1,0,-1,,
-73.109877,7.11913,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 35A CALLE 45,,,,,-1,0,-1,,
-73.109823,7.109641,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 33 CALLE 56,,,,,-1,0,-1,,
-73.109728,7.122251,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 36 CALLE 41,,,,,-1,0,-1,,
-73.109432,7.107433,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 33 CALLE 63,,,,,-1,0,-1,,
-73.109337,7.116901,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 35A CALLE 48,,,,,-1,0,-1,,
-73.109279,7.113379,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 35 CALLE 52,,,,,-1,0,-1,,
-73.108968,7.114808,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 35A. CALLE 51,,,,,-1,0,-1,,
-73.107583,7.110351,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 36 CALLE 56,,,,,-1,0,-1,,
-73.10238,7.096442,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   TRANSV. ORIENTAL S. BARBARA,,,,,-1,0,-1,,
-73.114445,7.129968,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA.33  AV. Q. SECA,,,,,-1,0,-1,,
-73.130976,7.135198,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 15 CALLE 11,,,,,-1,0,-1,,
-73.130428,7.132242,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 15 CALLE 15,,,,,-1,0,-1,,
-73.127869,7.116952,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 13 CALLE  37,,,,,-1,0,-1,,
-73.127075,7.117092,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 14 CALLE 37,,,,,-1,0,-1,,
-73.118197,7.120766,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 25 CALLE 36,,,,,-1,0,-1,,
